Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Ronwen Williams,Mamelodi Sundowns,Goleiro,11,81,85,24
Ricardo Goss,Siwelele,Goleiro,16,86,81,19
Sipho Chaine,Orlando Pirates,Goleiro,23,94,85,21
Brandon Petersen,Kaizer Chiefs,Goleiro,11,89,81,12
Aubrey Modiba,Mamelodi Sundowns,Defensor,66,78,84,35
Khuliso Mudau,Mamelodi Sundowns,Defensor,69,76,86,25
Nkosinathi Sibisi,Orlando Pirates,Defensor,49,87,90,35
Mbekezeli Mbokazi,Chicago Fire,Defensor,46,88,79,32
Ime Okon,Hannover 96,Defensor,64,90,85,32
Samukele Kabini,Molde,Defensor,65,75,88,25
Khulumani Ndamane,Mamelodi Sundowns,Defensor,65,76,89,29
Thabang Matuludi,Polokwane City,Defensor,41,89,79,41
Thabiso Monyane,Kaizer Chiefs,Defensor,69,83,85,20
Bradley Cross,Kaizer Chiefs,Defensor,56,77,75,40
Olwethu Makhanya,Philadelphia Union,Defensor,65,89,89,36
Themba Zwane,Mamelodi Sundowns,Meio-Campo,79,61,79,22
Teboho Mokoena,Mamelodi Sundowns,Meio-Campo,62,84,86,17
Yaya Sithole,Tondela,Meio-Campo,84,83,78,15
Lebohang Maboe,Kaizer Chiefs,Meio-Campo,69,86,91,23
Thalente Mbatha,Orlando Pirates,Meio-Campo,84,80,76,27
Jayden Adams,Mamelodi Sundowns,Meio-Campo,78,75,88,35
Brooklyn Poggenpoel,Durban City,Meio-Campo,80,87,87,25
Thapelo Morena,Mamelodi Sundowns,Atacante,81,40,78,31
Lyle Foster,Burnley,Atacante,84,46,90,26
Evidence Makgopa,Orlando Pirates,Atacante,85,37,88,24
Oswin Appollis,Orlando Pirates,Atacante,94,45,76,33
