Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Mohammed Al-Owais,Al-Ula,Goleiro,16,67,82,19
Nawaf Al-Aqidi,Al-Nassr,Goleiro,17,67,87,19
Ahmed Al-Kassar,Al-Qadsiah,Goleiro,17,70,77,23
Abdulquddus Atiah,Al-Taawoun,Goleiro,15,62,90,29
Saud Abdulhamid,Lens,Defensor,32,65,86,25
Hassan Al-Tambakti,Al-Hilal,Defensor,28,58,91,37
Abdulelah Al-Amri,Al-Nassr,Defensor,30,59,88,18
Nawaf Boushal,Al-Nassr,Defensor,25,62,90,34
Ali Majrashi,Al-Ahli,Defensor,28,65,90,22
Ali Lajami,Al-Hilal,Defensor,24,63,76,22
Hassan Kadesh,Al-Ittihad,Defensor,32,60,92,22
Moteb Al-Harbi,Al-Hilal,Defensor,26,59,76,23
Jehad Thakri,Al-Qadsiah,Defensor,23,61,89,25
Mohammed Abu Al-Shamat,Al-Qadsiah,Defensor,30,59,84,35
Zakaria Hawsawi,Al-Ahli,Defensor,26,67,84,28
Salem Al-Dawsari,Al-Hilal,Meio-Campo,42,48,92,26
Mohamed Kanno,Al-Hilal,Meio-Campo,68,48,87,13
Nasser Al-Dawsari,Al-Hilal,Meio-Campo,46,59,87,24
Abdullah Al-Khaibari,Al-Nassr,Meio-Campo,53,60,77,16
Musab Al-Juwayr,Al-Qadsiah,Meio-Campo,44,57,86,35
Ayman Yahya,Al-Nassr,Meio-Campo,56,65,83,35
Ziyad Al-Johani,Al-Ahli,Meio-Campo,62,62,80,13
Saleh Abu Al-Shamat,Al-Ahli,Meio-Campo,58,58,92,30
Sultan Mandash,Al-Hilal,Meio-Campo,60,53,81,30
Alaa Al-Hejji,Neom,Meio-Campo,65,53,75,18
Firas Al-Buraikan,Al-Ahli,Atacante,57,15,88,41
