Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Anthony Mandrea,Caen,Goleiro,25,80,88,27
Kilian Belazzoug,Rennes B,Goleiro,25,73,83,17
Luca Zidane,Granada,Goleiro,28,71,75,23
Melvin Mastil,Stade Nyonnais,Goleiro,27,80,82,18
Aïssa Mandi,Lille,Defensor,45,76,82,18
Mehdi Dorval,Bari,Defensor,40,73,84,37
Achref Abada,USM Alger,Defensor,35,68,91,36
Zineddine Belaïd,JS Kabylie,Defensor,38,73,82,35
Sohaib Naïr,Guingamp,Defensor,37,71,86,35
Rayan Aït-Nouri,Manchester City,Defensor,45,68,91,23
Ramy Bensebaini,Borussia Dortmund,Defensor,43,74,84,26
Rafik Belghali,Hellas Verona,Defensor,45,72,92,35
Ramiz Zerrouki,Twente,Meio-Campo,70,63,82,27
Houssem Aouar,Al-Ittihad,Meio-Campo,58,69,78,34
Farès Chaïbi,Eintracht Frankfurt,Meio-Campo,68,60,87,14
Hicham Boudaoui,Nice,Meio-Campo,72,62,84,13
Adil Aouchiche,Schalke 04,Meio-Campo,72,64,77,14
Ibrahim Maza,Bayer Leverkusen,Meio-Campo,75,73,92,21
Yacine Titraoui,Charleroi,Meio-Campo,59,75,78,15
Riyad Mahrez,Al-Ahli,Atacante,68,26,91,44
Amine Gouiri,Marseille,Atacante,80,12,78,15
Nadhir Benbouali,Győr,Atacante,70,27,82,36
Farès Ghedjemis,Frosinone,Atacante,76,24,77,31
Mohamed Amoura,VfL Wolfsburg,Atacante,79,19,87,39
Amin Chiakha,Rosenborg,Atacante,70,28,85,28
Adil Boulbina,Al-Duhail,Atacante,70,23,92,18
