Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Nikola Vasilj,FC St. Pauli,Goleiro,15,63,76,13
Martin Zlomislić,Rijeka,Goleiro,16,62,84,19
Osman Hadžikić,Slaven Belupo,Goleiro,15,70,75,15
Sead Kolašinac,Atalanta,Defensor,26,63,87,25
Dennis Hadžikadunić,Sampdoria,Defensor,31,63,81,42
Amar Dedić,Benfica,Defensor,31,57,86,20
Nikola Katić,Schalke 04,Defensor,23,69,79,18
Tarik Muharemović,Sassuolo,Defensor,28,66,88,21
Nihad Mujakić,Gaziantep,Defensor,32,58,89,40
Arjan Malić,Sturm Graz,Defensor,30,61,76,22
Stjepan Radeljić,Rijeka,Defensor,23,60,75,23
Nidal Čelik,Lens,Defensor,30,64,75,33
Amir Hadžiahmetović,Hull City,Meio-Campo,53,51,81,29
Benjamin Tahirović,Brøndby,Meio-Campo,42,52,78,16
Armin Gigović,Young Boys,Meio-Campo,48,54,91,31
Dženis Burnić,Karlsruher SC,Meio-Campo,60,50,87,29
Ivan Bašić,Astana,Meio-Campo,65,48,79,15
Esmir Bajraktarević,PSV,Meio-Campo,46,60,84,14
Amar Memić,Viktoria Plzeň,Meio-Campo,42,61,90,18
Ivan Šunjić,Pafos,Meio-Campo,46,50,84,30
Kerim Alajbegović,Red Bull Salzburg,Meio-Campo,56,53,86,30
Ermin Mahmić,Slovan Liberec,Meio-Campo,61,60,80,35
Edin Džeko,Schalke 04,Atacante,56,21,80,22
Ermedin Demirović,VfB Stuttgart,Atacante,68,22,92,27
Samed Baždar,Jagiellonia Białystok,Atacante,63,8,78,37
Haris Tabaković,Borussia Mönchengladbach,Atacante,61,18,90,41
