Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Alisson,Liverpool,Goleiro,50,98,83,23
Ederson,Fenerbahçe,Goleiro,51,97,90,10
Weverton,Grêmio,Goleiro,51,97,82,22
Marquinhos,Paris Saint-Germain,Defensor,61,93,79,41
Danilo Luiz,Flamengo,Defensor,60,92,89,29
Alex Sandro,Flamengo,Defensor,66,95,85,25
Gabriel Magalhães,Arsenal,Defensor,63,94,91,24
Bremer,Juventus,Defensor,68,90,87,39
Wesley,Roma,Defensor,69,96,80,31
Roger Ibañez,Al-Ahli,Defensor,66,93,89,29
Douglas Santos,Zenit Saint Petersburg,Defensor,61,92,81,34
Léo Pereira,Flamengo,Defensor,62,97,76,24
Casemiro,Manchester United,Meio-Campo,96,90,87,40
Lucas Paquetá,Flamengo,Meio-Campo,86,85,83,35
Bruno Guimarães,Newcastle United,Meio-Campo,85,96,76,13
Fabinho,Al-Ittihad,Meio-Campo,88,92,79,19
Danilo Santos,Botafogo,Meio-Campo,86,82,83,29
Neymar,Santos,Atacante,99,24,75,21
Vinícius Júnior,Real Madrid,Atacante,98,40,90,15
Raphinha,Barcelona,Atacante,98,26,84,14
Gabriel Martinelli,Arsenal,Atacante,97,28,90,15
Matheus Cunha,Manchester United,Atacante,94,27,84,18
Endrick,Lyon,Atacante,92,39,75,38
Luiz Henrique,Zenit Saint Petersburg,Atacante,93,26,75,34
Igor Thiago,Brentford,Atacante,98,34,80,40
Rayan,Bournemouth,Atacante,94,45,87,35
Bento,Al-Nassr,Goleiro,49,93,80,15
Lucas Perri,Lyon,Goleiro,48,91,83,18
Ibañez,Al-Ahli,Defensor,60,92,85,25
Danilo,Flamengo,Defensor,66,93,80,35
Eder Militão,Real Madrid,Defensor,64,94,86,28
Lucas Beraldo,PSG,Defensor,65,92,78,15
Murilo,Palmeiras,Defensor,61,92,83,18
Yan Couto,Girona,Defensor,70,87,82,22
Vanderson,Monaco,Defensor,69,88,84,25
Guilherme Arana,Atlético Mineiro,Defensor,70,89,81,28
Douglas Luiz,Juventus,Meio-Campo,91,91,83,25
João Gomes,Wolverhampton,Meio-Campo,86,94,89,20
Andreas Pereira,Fulham,Meio-Campo,92,86,80,22
André Trindade,Fluminense,Meio-Campo,88,93,84,15
Raphael Veiga,Palmeiras,Meio-Campo,94,82,78,20
Gerson,Flamengo,Meio-Campo,91,89,82,28
Zé Rafael,Palmeiras,Meio-Campo,89,91,85,32
Vinicius Junior,Real Madrid,Atacante,99,34,89,45
Rodrygo,Real Madrid,Atacante,97,39,84,25
Savinho,Manchester City,Atacante,94,32,81,15
Richarlison,Tottenham,Atacante,94,45,83,42
João Pedro,Brighton,Atacante,94,40,82,20
Pedro,Flamengo,Atacante,96,30,80,18
Vitor Roque,Betis,Atacante,93,34,84,25
