Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Vozinha,Chaves,Goleiro,16,68,78,23
Márcio Rosa,Montana,Goleiro,18,67,88,25
CJ dos Santos,San Diego,Goleiro,15,62,86,18
Stopira,Torreense,Defensor,24,60,76,31
Pico,Shamrock Rovers,Defensor,31,62,89,30
João Paulo,FCSB,Defensor,28,62,84,24
Diney,Al Bataeh,Defensor,31,60,79,21
Logan Costa,Villarreal,Defensor,25,63,87,34
Steven Moreira,Columbus Crew,Defensor,32,65,88,25
Wagner Pina,Trabzonspor,Defensor,24,70,87,28
Sidny Lopes Cabral,Benfica,Defensor,24,64,79,18
Kelvin Pires,SJK,Defensor,28,64,75,20
Jamiro Monteiro,PEC Zwolle,Meio-Campo,51,61,77,35
Kevin Pina,Krasnodar,Meio-Campo,58,67,91,31
Deroy Duarte,Ludogorets Razgrad,Meio-Campo,42,48,77,38
Telmo Arcanjo,Vitória de Guimarães,Meio-Campo,44,58,86,36
Laros Duarte,Puskás Akadémia,Meio-Campo,45,55,78,35
Yannick Semedo,Farense,Meio-Campo,51,54,78,20
Ryan Mendes,Iğdır,Atacante,45,16,75,13
Garry Rodrigues,Apollon Limassol,Atacante,67,11,81,31
Willy Semedo,Omonia,Atacante,52,8,89,15
Jovane Cabral,Estrela Amadora,Atacante,57,22,85,15
Benchimol,Akron Tolyatti,Atacante,68,10,92,24
Dailon Livramento,Casa Pia,Atacante,50,17,80,13
Hélio Varela,Maccabi Tel Aviv,Atacante,62,21,82,19
Nuno da Costa,İstanbul Başakşehir,Atacante,66,8,79,16
