Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Maxime Crépeau,Orlando City,Goleiro,25,74,79,21
Dayne St. Clair,Inter Miami,Goleiro,26,80,87,22
Owen Goodman,Barnsley,Goleiro,26,76,80,11
Richie Laryea,Toronto FC,Defensor,39,77,91,35
Alphonso Davies,Bayern Munich,Defensor,34,77,79,39
Alistair Johnston,Celtic,Defensor,45,71,75,31
Derek Cornelius,Rangers,Defensor,43,74,88,23
Moïse Bombito,Nice,Defensor,38,73,88,39
Niko Sigur,Hajduk Split,Defensor,43,77,91,24
Joel Waterman,Chicago Fire,Defensor,36,77,88,25
Luc de Fougerolles,Dender,Defensor,44,72,86,28
Jonathan David,Juventus,Atacante,79,22,85,20
Cyle Larin,Club Necaxa,Atacante,74,18,83,27
Promise David,Club Brugge,Atacante,71,20,88,24
Tani Oluwaseyi,Minnesota United,Atacante,68,24,84,19
Jonathan Osorio,Toronto FC,Meio-Campo,77,73,83,21
Tajon Buchanan,Villarreal,Meio-Campo,73,63,86,12
Stephen Eustáquio,Los Angeles FC,Meio-Campo,66,62,92,14
Ike Ugbo,Troyes,Atacante,70,19,86,25
Ismaël Koné,Sassuolo,Meio-Campo,78,62,77,20
Jacob Shaffelburg,Los Angeles FC,Meio-Campo,77,66,90,32
Jacen Russell-Rowe,Charlotte FC,Atacante,65,26,81,22
Mathieu Choinière,Los Angeles FC,Meio-Campo,77,74,79,39
Kwasi Poku,Charlotte FC,Atacante,63,21,79,30
Jayden Nelson,Austin FC,Meio-Campo,72,75,86,26
Marcelo Flores,UANL,Meio-Campo,80,60,76,40
