Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Meshaal Barsham,Al-Sadd,Goleiro,24,84,86,10
Salah Zakaria,Al-Duhail,Goleiro,10,81,75,20
Mahmud Abunada,Al-Rayyan,Goleiro,10,91,77,16
Shehab Ellethy,Al-Shahaniya,Goleiro,23,90,77,24
Boualem Khoukhi,Al-Sadd,Defensor,40,91,80,19
Pedro Miguel,Al-Sadd,Defensor,48,83,92,19
Homam Ahmed,Cultural Leonesa,Defensor,72,84,85,41
Lucas Mendes,Al-Wakrah,Defensor,47,84,86,23
Sultan Al-Brake,Al-Duhail,Defensor,44,80,76,27
Al-Hashmi Al-Hussain,Al-Arabi,Defensor,58,82,83,36
Ayoub Al-Oui,Al-Gharafa,Defensor,69,78,90,19
Issa Laye,Al-Arabi,Defensor,44,78,81,18
Rayyan Al-Ali,Al-Gharafa,Defensor,43,75,75,22
Abdulaziz Hatem,Al-Rayyan,Meio-Campo,67,73,84,38
Karim Boudiaf,Al-Duhail,Meio-Campo,70,75,80,21
Assim Madibo,Al-Wakrah,Meio-Campo,83,68,86,37
Ahmed Fathy,Al-Arabi,Meio-Campo,77,79,84,14
Jassem Gaber,Al-Rayyan,Meio-Campo,80,66,80,39
Mohamed Al-Mannai,Al-Shamal,Meio-Campo,71,62,85,34
Tahsin Jamshid,Al-Duhail,Meio-Campo,76,80,88,15
Hassan Al-Haydos,Al-Sadd,Atacante,79,51,76,12
Akram Afif,Al-Sadd,Atacante,97,47,81,29
Almoez Ali,Al-Duhail,Atacante,81,44,76,22
Mohammed Muntari,Al-Gharafa,Atacante,84,23,86,39
Ahmed Alaaeldin,Al-Rayyan,Atacante,91,39,83,27
Yusuf Abdurisag,Al-Wakrah,Atacante,84,38,75,14
