Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
David Ospina,Atlético Nacional,Goleiro,37,84,81,25
Camilo Vargas,Atlas,Goleiro,37,83,84,10
Álvaro Montero,Vélez Sarsfield,Goleiro,32,81,86,20
Davinson Sánchez,Galatasaray,Defensor,54,77,87,41
Santiago Arias,Independiente,Defensor,47,74,75,35
Yerry Mina,Cagliari,Defensor,54,78,82,41
Daniel Muñoz,Crystal Palace,Defensor,46,79,82,38
Johan Mojica,Mallorca,Defensor,49,79,85,29
Jhon Lucumí,Bologna,Defensor,55,76,85,19
Deiver Machado,Nantes,Defensor,45,86,83,34
Willer Ditta,Cruz Azul,Defensor,53,81,82,26
James Rodríguez,Minnesota United,Meio-Campo,80,70,84,12
Jefferson Lerma,Crystal Palace,Meio-Campo,68,70,77,40
Juan Fernando Quintero,River Plate,Meio-Campo,74,70,91,32
Jhon Arias,Palmeiras,Meio-Campo,77,73,90,12
Richard Ríos,Benfica,Meio-Campo,74,68,75,28
Kevin Castaño,River Plate,Meio-Campo,78,73,92,26
Jorge Carrascal,Flamengo,Meio-Campo,79,76,88,21
Jaminton Campaz,Rosario Central,Meio-Campo,69,69,80,27
Juan Portilla,Athletico Paranaense,Meio-Campo,79,80,89,21
Gustavo Puerta,Racing de Santander,Meio-Campo,77,80,87,20
Luis Díaz,Bayern Munich,Atacante,80,15,87,31
Jhon Córdoba,Krasnodar,Atacante,82,32,84,36
Luis Suárez,Sporting CP,Atacante,88,31,84,16
Cucho Hernández,Betis,Atacante,79,25,86,43
Andrés Gómez,Vasco da Gama,Atacante,81,30,87,20
