Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Kim Seung-gyu,FC Tokyo,Goleiro,35,79,84,26
Jo Hyeon-woo,Ulsan HD,Goleiro,33,83,77,13
Song Bum-keun,Jeonbuk Hyundai Motors,Goleiro,32,83,85,29
Kim Min-jae,Bayern Munich,Defensor,47,86,78,31
Kim Moon-hwan,Daejeon Hana Citizen,Defensor,43,84,86,32
Seol Young-woo,Red Star Belgrade,Defensor,52,81,90,37
Cho Yu-min,Sharjah,Defensor,51,85,80,24
Lee Tae-seok,Austria Wien,Defensor,48,80,79,28
Park Jin-seob,Zhejiang FC,Defensor,55,82,86,29
Kim Tae-hyeon,Kashima Antlers,Defensor,48,82,75,18
Lee Han-beom,Midtjylland,Defensor,54,84,82,32
Jens Castrop,Borussia Mönchengladbach,Defensor,54,78,80,31
Lee Ki-hyuk,Gangwon FC,Defensor,44,83,81,41
Lee Jae-sung,Mainz 05,Meio-Campo,68,76,92,24
Hwang Hee-chan,Wolverhampton Wanderers,Meio-Campo,75,76,87,34
Hwang In-beom,Feyenoord,Meio-Campo,79,68,80,29
Lee Kang-in,Paris Saint-Germain,Meio-Campo,75,70,89,13
Paik Seung-ho,Birmingham City,Meio-Campo,75,78,89,40
Kim Jin-gyu,Jeonbuk Hyundai Motors,Meio-Campo,74,68,91,22
Lee Dong-gyeong,Ulsan HD,Meio-Campo,77,81,78,35
Bae Jun-ho,Stoke City,Meio-Campo,76,81,77,37
Eom Ji-sung,Swansea City,Meio-Campo,73,69,77,39
Yang Hyun-jun,Celtic,Meio-Campo,75,72,84,26
Son Heung-min,Los Angeles FC,Atacante,80,15,75,36
Cho Gue-sung,Midtjylland,Atacante,88,32,83,45
Oh Hyeon-gyu,Beşiktaş,Atacante,85,31,75,45
