Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Yahia Fofana,Çaykur Rizespor,Goleiro,12,83,75,17
Alban Lafont,Panathinaikos,Goleiro,10,81,86,11
Mohamed Koné,Charleroi,Goleiro,10,91,83,15
Ghislain Konan,Gil Vicente,Defensor,56,82,92,37
Odilon Kossounou,Atalanta,Defensor,63,80,83,27
Wilfried Singo,Galatasaray,Defensor,69,79,80,40
Evan Ndicka,Roma,Defensor,62,78,78,41
Emmanuel Agbadou,Beşiktaş,Defensor,40,82,90,26
Guéla Doué,Strasbourg,Defensor,60,88,88,34
Ousmane Diomande,Sporting CP,Defensor,48,87,77,28
Clément Akpa,Auxerre,Defensor,40,81,79,35
Franck Kessié,Al-Ahli,Meio-Campo,75,85,86,24
Jean Michaël Seri,Maribor,Meio-Campo,81,77,76,13
Ibrahim Sangaré,Nottingham Forest,Meio-Campo,60,70,79,13
Seko Fofana,Porto,Meio-Campo,73,71,80,23
Christ Inao Oulaï,Trabzonspor,Meio-Campo,66,74,90,18
Parfait Guiagon,Charleroi,Meio-Campo,74,67,89,36
Nicolas Pépé,Villarreal,Atacante,83,23,76,36
Oumar Diakité,Cercle Brugge,Atacante,86,36,86,33
Simon Adingra,Monaco,Atacante,80,47,84,33
Evann Guessand,Crystal Palace,Atacante,96,50,85,34
Amad Diallo,Manchester United,Atacante,85,27,92,22
Yan Diomande,RB Leipzig,Atacante,84,41,79,42
Bazoumana Touré,TSG Hoffenheim,Atacante,92,21,91,39
Elye Wahi,Nice,Atacante,94,20,82,38
Ange-Yoan Bonny,Inter Milan,Atacante,81,51,84,41
