Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Dominik Livaković,Dinamo Zagreb,Goleiro,40,87,88,10
Dominik Kotarski,Copenhagen,Goleiro,44,93,81,10
Ivor Pandur,Hull City,Goleiro,43,93,79,11
Joško Gvardiol,Manchester City,Defensor,65,83,87,28
Duje Ćaleta-Car,Real Sociedad,Defensor,59,83,89,19
Josip Šutalo,Ajax,Defensor,58,84,84,39
Josip Stanišić,Bayern Munich,Defensor,60,86,81,28
Marin Pongračić,Fiorentina,Defensor,52,88,79,25
Martin Erlić,Midtjylland,Defensor,64,84,75,21
Luka Vušković,Hamburger SV,Defensor,60,85,89,35
Luka Modrić,Milan,Meio-Campo,78,84,84,33
Mateo Kovačić,Manchester City,Meio-Campo,84,89,77,30
Mario Pašalić,Atalanta,Meio-Campo,92,90,76,24
Nikola Vlašić,Torino,Meio-Campo,85,81,75,13
Luka Sučić,Real Sociedad,Meio-Campo,91,81,92,16
Martin Baturina,Como,Meio-Campo,92,75,76,32
Kristijan Jakić,FC Augsburg,Meio-Campo,90,83,78,13
Petar Sučić,Inter Milan,Meio-Campo,89,84,83,19
Nikola Moro,Bologna,Meio-Campo,83,84,91,12
Toni Fruk,Rijeka,Meio-Campo,86,78,76,12
Ivan Perišić,PSV Eindhoven,Atacante,90,38,86,32
Andrej Kramarić,TSG Hoffenheim,Atacante,97,33,78,36
Ante Budimir,Osasuna,Atacante,89,30,83,33
Marco Pašalić,Orlando City,Atacante,96,34,77,22
Petar Musa,FC Dallas,Atacante,95,31,87,19
Igor Matanović,SC Freiburg,Atacante,90,18,78,24
