Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Eloy Room,Miami FC,Goleiro,22,91,79,19
Trevor Doornbusch,VVV-Venlo,Goleiro,25,85,89,30
Tyrick Bodak,Telstar,Goleiro,20,89,75,10
Juriën Gaari,Abha,Defensor,60,78,84,37
Roshon van Eijma,RKC Waalwijk,Defensor,61,84,92,39
Sherel Floranus,PEC Zwolle,Defensor,54,90,81,39
Joshua Brenet,Kayserispor,Defensor,65,91,91,33
Shurandy Sambo,Sparta Rotterdam,Defensor,50,79,75,31
Armando Obispo,PSV,Defensor,61,84,79,35
Riechedly Bazoer,Konyaspor,Defensor,50,76,76,21
Deveron Fonville,NEC,Defensor,74,81,88,19
Leandro Bacuna,Iğdır,Meio-Campo,78,80,76,14
Juninho Bacuna,Volendam,Meio-Campo,84,77,87,40
Godfried Roemeratoe,RKC Waalwijk,Meio-Campo,85,88,77,36
Kevin Felida,Den Bosch,Meio-Campo,62,79,80,18
Livano Comenencia,Zürich,Meio-Campo,62,78,75,38
Ar'jany Martha,Rotherham United,Meio-Campo,77,62,81,28
Tyrese Noslin,Telstar,Meio-Campo,77,66,82,22
Kenji Gorré,Maccabi Haifa,Atacante,93,33,78,21
Brandley Kuwas,Volendam,Atacante,85,27,88,23
Gervane Kastaneer,Terengganu,Atacante,76,38,82,19
Jeremy Antonisse,Kifisia,Atacante,90,45,81,12
Jearl Margaritha,Beveren,Atacante,77,46,87,37
Jürgen Locadia,Miami FC,Atacante,88,49,85,43
Sontje Hansen,Middlesbrough,Atacante,86,25,91,35
Tahith Chong,Sheffield United,Atacante,97,40,80,28
