Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Andreas Jungdal,Westerlo,Goleiro,38,82,78,14
Mads Hermansen,West Ham United,Goleiro,38,80,75,21
Frederik Rønnow,Union Berlin,Goleiro,32,86,75,29
Joachim Andersen,Fulham,Defensor,53,79,85,35
Victor Nelsson,Hellas Verona,Defensor,46,85,78,25
Lucas Høgsberg,Strasbourg,Defensor,55,86,91,31
Joakim Mæhle,VfL Wolfsburg,Defensor,55,82,89,24
Oliver Provstgaard,Lazio,Defensor,48,85,75,27
Alexander Bah,Benfica,Defensor,48,83,79,25
Victor Bak Jensen,Midtjylland,Defensor,49,81,82,21
Nikolas Nartey,VfB Stuttgart,Meio-Campo,84,69,79,38
Mathias Jensen,Brentford,Meio-Campo,87,71,86,26
Christian Eriksen,VfL Wolfsburg,Meio-Campo,77,68,88,37
Victor Froholdt,Porto,Meio-Campo,72,71,86,33
Mikkel Damsgaard,Brentford,Meio-Campo,86,79,89,29
Christian Nørgaard,Arsenal,Meio-Campo,84,84,81,19
Noah Nartey,Lyon,Meio-Campo,68,84,76,27
Morten Hjulmand,Sporting CP,Meio-Campo,75,82,80,12
Pierre-Emile Højbjerg,Marseille,Meio-Campo,68,80,92,16
Gustav Isaksen,Lazio,Atacante,82,32,88,28
Rasmus Højlund,Napoli,Atacante,85,22,79,41
William Osula,Newcastle United,Atacante,82,28,86,45
Kasper Høgh,Bodø/Glimt,Atacante,88,30,86,45
Anders Dreyer,San Diego,Atacante,75,15,79,30
Jesper Lindstrøm,VfL Wolfsburg,Atacante,85,18,79,42
Kasper Schmeichel <sup></sup>,Celtic,Goleiro,33,80,82,14
