Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Mohamed El Shenawy,Al Ahly,Goleiro,18,81,81,16
Mostafa Shobeir,Al Ahly,Goleiro,18,83,89,19
Mohamed Alaa,El Gouna,Goleiro,22,84,86,21
El Mahdy Soliman,Zamalek,Goleiro,25,90,81,11
Ramy Rabia,Al Ain,Defensor,52,75,91,28
Mohamed Hany,Al Ahly,Defensor,48,82,91,33
Ahmed Abou El Fotouh,Zamalek,Defensor,67,92,78,18
Mohamed Abdelmonem,Nice,Defensor,66,91,92,29
Yasser Ibrahim,Al Ahly,Defensor,73,77,84,40
Hossam Abdelmaguid,Zamalek,Defensor,70,88,84,24
Karim Hafez,Pyramids,Defensor,59,83,82,38
Tarek Alaa,ZED,Defensor,66,78,82,33
Hamdy Fathy,Al-Wakrah,Meio-Campo,63,60,82,25
Marwan Attia,Al Ahly,Meio-Campo,77,65,88,38
Emam Ashour,Al Ahly,Meio-Campo,76,86,80,15
Mohanad Lasheen,Pyramids,Meio-Campo,88,86,84,32
Mahmoud Saber,ZED,Meio-Campo,65,68,89,12
Donga,Al-Najma,Meio-Campo,75,74,87,16
Mostafa Ziko,Pyramids,Meio-Campo,83,65,86,18
Mohamed Salah,Liverpool,Atacante,82,34,82,22
Trézéguet,Al Ahly,Atacante,87,48,79,24
Zizo,Al Ahly,Atacante,91,48,76,37
Omar Marmoush,Manchester City,Atacante,96,33,81,22
Ibrahim Adel,Nordsjælland,Atacante,94,46,79,12
Haissem Hassan,Oviedo,Atacante,89,40,86,32
Aqtay Abdallah,ENPPI,Atacante,82,45,78,14
