Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Hernán Galíndez,Huracán,Goleiro,26,79,89,25
Moisés Ramírez,Kifisia,Goleiro,25,77,85,17
Gonzalo Valle,LDU Quito,Goleiro,28,76,84,16
Enner Valencia,Internacional,Atacante,74,24,80,26
Ángelo Preciado,Atlético Mineiro,Defensor,39,77,86,36
Pervis Estupiñán,Milan,Defensor,40,77,79,40
Félix Torres,Internacional,Defensor,45,75,82,30
Joel Ordóñez,Club Brugge,Defensor,42,71,82,28
José Hurtado,Red Bull Bragantino,Defensor,45,76,82,22
Jackson Porozo,Tijuana,Defensor,36,77,85,31
Fricio Caicedo,LDU Quito,Defensor,41,76,90,42
Deinner Ordóñez,Independiente del Valle,Defensor,41,77,88,35
Moisés Caicedo,Chelsea,Meio-Campo,58,61,90,16
Alan Franco,Atlético Mineiro,Meio-Campo,68,70,77,20
Gonzalo Plata,Flamengo,Atacante,71,26,89,30
Kendry Páez,River Plate,Meio-Campo,71,60,78,16
John Yeboah,Venezia,Atacante,68,22,75,20
Alan Minda,Atlético Mineiro,Meio-Campo,60,77,80,34
Kevin Rodríguez,Genoa,Atacante,73,20,84,25
Jordy Alcívar,Independiente del Valle,Meio-Campo,67,76,88,12
Denil Castillo,Midtjylland,Meio-Campo,65,61,92,23
Leonardo Campana,Inter Miami,Atacante,69,25,87,19
Darwin Guagua,Independiente del Valle,Meio-Campo,74,75,80,36
Justin Cuero,Club Brugge,Atacante,65,28,88,27
Ederson Castillo,LDU Quito,Meio-Campo,62,71,82,25
Michael Estrada,Toluca,Atacante,67,23,81,29
