Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Craig Gordon,Heart of Midlothian,Goleiro,25,79,86,13
Angus Gunn,Nottingham Forest,Goleiro,27,75,82,15
Liam Kelly,Rangers,Goleiro,27,80,77,22
Andy Robertson,Liverpool,Defensor,42,76,85,23
Grant Hanley,Hibernian,Defensor,41,78,85,30
Kieran Tierney,Celtic,Defensor,36,78,84,19
Scott McKenna,Dinamo Zagreb,Defensor,40,68,88,30
Jack Hendry,Al-Ettifaq,Defensor,42,78,79,32
Nathan Patterson,Everton,Defensor,45,76,85,26
Anthony Ralston,Celtic,Defensor,36,76,86,18
John Souttar,Rangers,Defensor,38,74,92,30
Aaron Hickey,Brentford,Defensor,41,76,76,28
Dominic Hyam,Wrexham,Defensor,41,71,83,40
John McGinn,Aston Villa,Meio-Campo,66,65,86,19
Scott McTominay,Napoli,Meio-Campo,58,69,92,27
Ryan Christie,Bournemouth,Meio-Campo,68,60,80,25
Kenny McLean,Norwich City,Meio-Campo,74,75,82,18
Billy Gilmour,Napoli,Meio-Campo,59,61,89,22
Lewis Ferguson,Bologna,Meio-Campo,58,66,85,28
Ben Gannon-Doak,Bournemouth,Meio-Campo,63,64,85,21
Findlay Curtis,Rangers,Meio-Campo,64,71,79,26
Lyndon Dykes,Charlton Athletic,Atacante,66,24,80,27
Ché Adams,Torino,Atacante,74,24,76,39
Lawrence Shankland,Rangers,Atacante,74,12,78,32
George Hirst,Ipswich Town,Atacante,80,19,77,27
Ross Stewart,Southampton,Atacante,69,28,79,23
