Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Unai Simón,Athletic Bilbao,Goleiro,41,92,88,17
David Raya,Arsenal,Goleiro,42,91,75,25
Joan Garcia,Barcelona,Goleiro,40,93,87,20
Aymeric Laporte,Athletic Bilbao,Defensor,63,92,83,34
Marc Cucurella,Chelsea,Defensor,50,91,87,40
Marcos Llorente,Atlético Madrid,Defensor,65,92,81,18
Eric García,Barcelona,Defensor,58,89,82,24
Pedro Porro,Tottenham Hotspur,Defensor,57,86,82,30
Álex Grimaldo,Bayer Leverkusen,Defensor,64,85,85,21
Pau Cubarsí,Barcelona,Defensor,65,90,92,40
Marc Pubill,Atlético Madrid,Defensor,57,80,88,29
Rodri,Manchester City,Meio-Campo,89,83,92,31
Dani Olmo,Barcelona,Meio-Campo,78,77,86,14
Mikel Merino,Arsenal,Meio-Campo,87,75,87,21
Fabián Ruiz,Paris Saint-Germain,Meio-Campo,90,85,82,33
Pedri,Barcelona,Meio-Campo,86,89,89,29
Gavi,Barcelona,Meio-Campo,85,86,90,38
Martín Zubimendi,Arsenal,Meio-Campo,89,80,83,21
Ferran Torres,Barcelona,Atacante,86,38,83,28
Mikel Oyarzabal,Real Sociedad,Atacante,86,28,92,12
Nico Williams,Athletic Bilbao,Atacante,95,36,87,19
Lamine Yamal,Barcelona,Atacante,93,32,87,36
Yéremy Pino,Crystal Palace,Atacante,96,19,81,21
Álex Baena,Atlético Madrid,Atacante,97,18,78,22
Borja Iglesias,Celta Vigo,Atacante,92,35,77,35
Víctor Muñoz,Osasuna,Atacante,96,38,86,20
