Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Matt Turner,New England Revolution,Goleiro,32,83,89,24
Matt Freese,New York City,Goleiro,32,82,86,16
Chris Brady,Chicago Fire,Goleiro,34,86,76,15
Sergiño Dest,PSV,Defensor,54,83,90,31
Chris Richards,Crystal Palace,Defensor,53,80,86,40
Antonee Robinson,Fulham,Defensor,42,83,89,30
Auston Trusty,Celtic,Defensor,55,82,92,25
Miles Robinson,FC Cincinnati,Defensor,43,76,92,40
Tim Ream,Charlotte FC,Defensor,50,84,85,37
Alex Freeman,Villarreal,Defensor,53,79,91,39
Maximilian Arfsten,Columbus Crew,Defensor,47,83,82,26
Mark McKenzie,Toulouse,Defensor,46,79,78,35
Joe Scally,Borussia Mönchengladbach,Defensor,55,77,85,36
Tyler Adams,Bournemouth,Meio-Campo,83,68,77,28
Giovanni Reyna,Borussia Mönchengladbach,Meio-Campo,81,71,92,28
Weston McKennie,Juventus,Meio-Campo,72,83,92,39
Sebastian Berhalter,Vancouver Whitecaps,Meio-Campo,76,72,81,32
Cristian Roldan,Seattle Sounders,Meio-Campo,68,82,84,22
Malik Tillman,Bayer Leverkusen,Meio-Campo,69,69,80,27
Ricardo Pepi,PSV,Atacante,81,29,83,22
Christian Pulisic,Milan,Atacante,83,32,78,15
Brenden Aaronson,Leeds United,Atacante,88,23,86,40
Haji Wright,Coventry City,Atacante,84,15,91,23
Folarin Balogun,Monaco,Atacante,81,24,86,27
Timothy Weah,Marseille,Atacante,78,20,77,12
Alejandro Zendejas,América,Atacante,82,30,87,44
