Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Brice Samba,Rennes,Goleiro,19,90,88,27
Mike Maignan,Milan,Goleiro,17,93,82,26
Robin Risser,Lens,Goleiro,10,91,87,13
Malo Gusto,Chelsea,Defensor,49,85,78,36
Lucas Digne,Aston Villa,Defensor,66,91,86,24
Dayot Upamecano,Bayern Munich,Defensor,71,75,75,35
Jules Koundé,Barcelona,Defensor,63,75,88,28
Ibrahima Konaté,Liverpool,Defensor,69,92,90,31
William Saliba,Arsenal,Defensor,64,76,84,37
Théo Hernandez,Al-Hilal,Defensor,58,91,78,34
Lucas Hernandez,Paris Saint-Germain,Defensor,72,78,81,35
Maxence Lacroix,Crystal Palace,Defensor,61,83,84,18
Manu Koné,Roma,Meio-Campo,87,75,82,20
Aurélien Tchouaméni,Real Madrid,Meio-Campo,87,71,81,37
N'Golo Kanté,Fenerbahçe,Meio-Campo,63,82,76,21
Adrien Rabiot,Milan,Meio-Campo,82,61,79,40
Warren Zaïre-Emery,Paris Saint-Germain,Meio-Campo,71,69,77,20
Ousmane Dembélé,Paris Saint-Germain,Atacante,79,42,81,20
Marcus Thuram,Inter Milan,Atacante,76,24,84,40
Kylian Mbappé,Real Madrid,Atacante,79,37,83,14
Michael Olise,Bayern Munich,Atacante,79,28,89,29
Bradley Barcola,Paris Saint-Germain,Atacante,96,36,78,45
Désiré Doué,Paris Saint-Germain,Atacante,77,39,85,32
Jean-Philippe Mateta,Crystal Palace,Atacante,77,32,78,17
Rayan Cherki,Manchester City,Atacante,83,46,83,45
Maghnes Akliouche,Monaco,Atacante,97,44,88,25
