Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Lawrence Ati-Zigi,St. Gallen,Goleiro,25,89,81,21
Benjamin Asare,Hearts of Oak,Goleiro,24,83,76,27
Solomon Agbasi,Hearts of Oak,Goleiro,19,81,87,21
Joseph Anang,St Patrick's Athletic,Goleiro,19,83,84,25
Paul Reverson,Jong Ajax,Goleiro,15,87,86,17
Abdul Rahman Baba,PAOK,Defensor,62,91,85,24
Gideon Mensah,Auxerre,Defensor,60,91,83,34
Alexander Djiku,Spartak Moscow,Defensor,68,88,89,31
Alidu Seidu,Rennes,Defensor,72,78,76,31
Jerome Opoku,İstanbul Başakşehir,Defensor,48,92,87,31
Jonas Adjetey,VfL Wolfsburg,Defensor,51,91,86,38
Abdul Mumin,Rayo Vallecano,Defensor,52,92,92,27
Kojo Peprah Oppong,Nice,Defensor,71,92,79,31
Marvin Senaya,Auxerre,Defensor,60,76,90,40
Thomas Partey,Villarreal,Meio-Campo,84,79,81,31
Abdul Fatawu,Leicester City,Meio-Campo,81,70,75,40
Kamaldeen Sulemana,Atalanta,Meio-Campo,61,63,80,21
Elisha Owusu,Auxerre,Meio-Campo,80,80,83,36
Caleb Yirenkyi,Nordsjælland,Meio-Campo,78,68,92,33
Kwasi Sibo,Oviedo,Meio-Campo,77,88,84,19
Augustine Boakye,Saint-Étienne,Meio-Campo,83,70,77,21
Jordan Ayew,Leicester City,Atacante,86,49,87,14
Antoine Semenyo,Manchester City,Atacante,88,50,80,27
Iñaki Williams,Athletic Bilbao,Atacante,95,44,79,17
Ernest Nuamah,Lyon,Atacante,75,24,92,13
Christopher Bonsu Baah,Al-Qadsiah,Atacante,83,39,85,26
