Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Johny Placide,Bastia,Goleiro,13,91,80,16
Alexandre Pierre,Sochaux,Goleiro,24,90,76,18
Josué Duverger,FC Cosmos Koblenz,Goleiro,25,90,82,17
Ricardo Adé,LDU Quito,Defensor,59,84,88,21
Carlens Arcus,Angers,Defensor,64,88,86,21
Martin Expérience,Nancy,Defensor,66,75,91,41
Jean-Kévin Duverne,Gent,Defensor,62,81,83,39
Duke Lacroix,Colorado Springs Switchbacks,Defensor,57,87,83,27
Wilguens Paugain,Zulte Waregem,Defensor,62,88,86,42
Hannes Delcroix,Lugano,Defensor,57,89,89,32
Keeto Thermoncy,Young Boys,Defensor,55,79,83,38
Leverton Pierre,Vizela,Meio-Campo,60,82,89,37
Danley Jean Jacques,Philadelphia Union,Meio-Campo,64,77,77,16
Carl Sainté,El Paso Locomotive,Meio-Campo,71,83,75,19
Jean‐Ricner Bellegarde,Wolverhampton Wanderers,Meio-Campo,75,84,88,22
Woodensky Pierre,Violette,Meio-Campo,63,60,87,28
Dominique Simon,Tatran Prešov,Meio-Campo,68,68,91,31
Duckens Nazon,Esteghlal,Atacante,76,46,78,30
Frantzdy Pierrot,Çaykur Rizespor,Atacante,91,42,77,33
Derrick Etienne Jr.,Toronto,Atacante,98,49,91,22
Louicius Deedson,Dallas,Atacante,92,26,76,24
Ruben Providence,Almere City,Atacante,79,24,75,34
Josué Casimir,Auxerre,Atacante,88,54,92,17
Yassin Fortuné,Vizela,Atacante,96,26,85,45
Wilson Isidor,Sunderland,Atacante,85,55,91,45
Lenny Joseph,Ferencváros,Atacante,97,37,78,31
