Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Bart Verbruggen,Brighton & Hove Albion,Goleiro,20,94,84,19
Mark Flekken,Bayer Leverkusen,Goleiro,19,80,89,28
Robin Roefs,Sunderland,Goleiro,10,89,76,11
Virgil van Dijk,Liverpool,Defensor,59,90,83,42
Denzel Dumfries,Internazionale,Defensor,42,76,89,32
Nathan Aké,Manchester City,Defensor,44,88,88,38
Jurriën Timber,Arsenal,Defensor,64,89,76,19
Micky van de Ven,Tottenham Hotspur,Defensor,55,76,91,33
Jan Paul van Hecke,Brighton & Hove Albion,Defensor,60,82,83,27
Jorrel Hato,Chelsea,Defensor,75,85,85,31
Frenkie de Jong,Barcelona,Meio-Campo,81,65,81,17
Marten de Roon,Atalanta,Meio-Campo,75,67,76,36
Tijjani Reijnders,Manchester City,Meio-Campo,60,78,80,39
Teun Koopmeiners,Juventus,Meio-Campo,75,85,91,26
Ryan Gravenberch,Liverpool,Meio-Campo,87,61,87,23
Mats Wieffer,Brighton & Hove Albion,Meio-Campo,71,60,90,14
Quinten Timber,Marseille,Meio-Campo,79,82,86,23
Guus Til,PSV Eindhoven,Meio-Campo,77,67,80,12
Memphis Depay,Corinthians,Atacante,94,45,89,32
Wout Weghorst,Ajax,Atacante,84,32,88,26
Donyell Malen,Roma,Atacante,87,25,80,32
Cody Gakpo,Liverpool,Atacante,82,47,89,37
Noa Lang,Galatasaray,Atacante,97,29,92,31
Justin Kluivert,Bournemouth,Atacante,90,20,76,12
Brian Brobbey,Sunderland,Atacante,96,48,90,18
Crysencio Summerville,West Ham United,Atacante,90,54,76,35
