Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Alireza Beiranvand,Tractor,Goleiro,18,70,81,25
Payam Niazmand,Persepolis,Goleiro,15,70,87,14
Hossein Hosseini,Sepahan,Goleiro,16,64,88,27
Mohammad Khalife,Aluminium Arak,Goleiro,18,66,85,13
Ehsan Hajsafi,Sepahan,Defensor,28,63,77,23
Milad Mohammadi,Persepolis,Defensor,28,58,82,20
Ramin Rezaeian,Foolad,Defensor,25,58,89,29
Hossein Kanaanizadegan,Persepolis,Defensor,32,61,81,27
Shojae Khalilzadeh,Tractor,Defensor,23,63,91,30
Saleh Hardani,Esteghlal,Defensor,25,55,91,26
Ali Nemati,Foolad,Defensor,27,55,80,19
Aria Yousefi,Sepahan,Defensor,28,55,88,19
Danial Eiri,Malavan,Defensor,25,56,76,37
Alireza Jahanbakhsh,Dender,Meio-Campo,42,58,88,33
Saeid Ezatolahi,Shabab Al-Ahli,Meio-Campo,47,49,87,28
Saman Ghoddos,Kalba,Meio-Campo,60,63,78,25
Mahdi Torabi,Tractor,Meio-Campo,63,54,85,13
Rouzbeh Cheshmi,Esteghlal,Meio-Campo,45,50,79,21
Mohammad Mohebi,Rostov,Meio-Campo,60,54,89,14
Mohammad Ghorbani,Al-Wahda,Meio-Campo,60,48,89,12
Amirmohammad Razzaghinia,Esteghlal,Meio-Campo,54,54,85,14
Hadi Habibinejad,Chadormalou,Meio-Campo,42,49,80,21
Mehdi Taremi,Olympiacos,Atacante,52,16,86,44
Mehdi Ghayedi,Al-Nasr,Atacante,65,22,88,37
Amirhossein Hosseinzadeh,Tractor,Atacante,55,8,81,16
Ali Alipour,Persepolis,Atacante,68,16,85,34
