Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Jalal Hassan,Al-Zawraa,Goleiro,16,67,82,22
Fahad Talib,Al-Talaba,Goleiro,18,65,87,21
Ahmed Basil,Al-Shorta,Goleiro,19,66,88,17
Aymen Hussein,Al-Naft,Atacante,58,15,79,22
Rebin Sulaka,Port,Defensor,29,69,85,25
Manaf Younis,Al-Shorta,Defensor,30,64,84,30
Merchas Doski,Viktoria Plzeň,Defensor,31,63,83,42
Hussein Ali,Pogoń Szczecin,Defensor,24,59,77,33
Zaid Tahseen,Pakhtakor,Defensor,31,67,79,30
Mohanad Ali,Al-Kahrabaa,Atacante,54,18,82,20
Maitham Jabbar,Al-Zawraa,Defensor,30,70,79,23
Ahmed Yahya,Al-Shorta,Defensor,28,70,92,29
Ali Al-Hamadi,Ipswich Town,Atacante,61,14,85,25
Hussein Falah,Al-Naft,Atacante,50,16,78,21
Zaid Ahmed,Al-Shorta,Atacante,48,19,80,27
Mohanad Abdul-Raheem,Al-Zawraa,Atacante,45,17,83,30
Ibrahim Bayesh,Al-Dhafra,Meio-Campo,44,55,83,16
Amir Al-Ammari,Cracovia,Meio-Campo,59,57,80,23
Ali Jasim,Al-Najma,Atacante,62,13,76,37
Youssef Amyn,AEK Larnaca,Atacante,47,20,81,19
Zidane Iqbal,Utrecht,Meio-Campo,44,67,81,29
Hasan Abdulkareem,Al-Zawraa,Meio-Campo,54,48,89,13
Marko Farji,Venezia,Meio-Campo,66,49,89,27
Karrar Nabeel,Al-Zawraa,Meio-Campo,42,53,80,23
Kevin Yakob,AGF,Meio-Campo,53,60,80,21
Aimar Sher,Sarpsborg,Meio-Campo,50,60,77,38
