Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Zion Suzuki,Parma,Goleiro,11,80,76,17
Keisuke Ōsako,Sanfrecce Hiroshima,Goleiro,22,81,87,16
Tomoki Hayakawa,Kashima Antlers,Goleiro,20,88,89,28
Yukinari Sugawara,Werder Bremen,Defensor,50,89,78,27
Shōgo Taniguchi,Sint-Truiden,Defensor,66,85,92,37
Kō Itakura,Ajax,Defensor,61,88,91,31
Yūto Nagatomo,FC Tokyo,Defensor,49,85,88,26
Takehiro Tomiyasu,Ajax,Defensor,48,75,81,30
Tsuyoshi Watanabe,Feyenoord,Defensor,45,88,86,41
Ayumu Seko,Le Havre,Defensor,55,84,77,24
Hiroki Itō,Bayern Munich,Defensor,66,76,83,28
Maya Yoshida,LA Galaxy,Defensor,49,83,88,23
Junnosuke Suzuki,Copenhagen,Defensor,61,88,82,33
Wataru Endo,Liverpool,Meio-Campo,71,67,88,13
Ao Tanaka,Leeds United,Meio-Campo,78,61,84,35
Takefusa Kubo,Real Sociedad,Meio-Campo,87,60,89,27
Ritsu Dōan,Eintracht Frankfurt,Meio-Campo,63,66,76,34
Keito Nakamura,Reims,Meio-Campo,62,61,81,29
Junya Itō,Genk,Meio-Campo,86,83,84,35
Kaishu Sano,Mainz 05,Meio-Campo,79,67,79,30
Daichi Kamada,Crystal Palace,Meio-Campo,70,86,84,29
Keisuke Gotō,Sint-Truiden,Atacante,91,51,80,14
Daizen Maeda,Celtic,Atacante,92,45,86,15
Yuito Suzuki,SC Freiburg,Atacante,76,36,77,20
Ayase Ueda,Feyenoord,Atacante,79,41,88,27
Kōki Ogawa,NEC,Atacante,95,22,87,26
