Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Yazeed Abulaila,Al-Hussein,Goleiro,15,69,77,23
Abdallah Al-Fakhouri,Al-Wehdat,Goleiro,17,65,82,17
Nour Bani Attiah,Al-Faisaly,Goleiro,16,64,78,23
Ahmad Al-Juaidi,Shabab Al-Ordon,Goleiro,16,70,82,12
Ihsan Haddad,Al-Hussein,Defensor,28,65,92,29
Yazan Al-Arab,FC Seoul,Defensor,32,61,80,29
Abdallah Nasib,Al-Zawraa,Defensor,31,61,91,33
Saed Al-Rosan,Al-Hussein,Defensor,32,59,89,26
Husam Abu Dahab,Al-Faisaly,Defensor,25,61,76,39
Mohammad Abualnadi,Selangor,Defensor,26,68,84,26
Salim Obaid,Al-Hussein,Defensor,29,66,81,37
Ahmad Assaf,Al-Hussein,Defensor,23,69,78,33
Anas Badawi,Al-Faisaly,Defensor,28,63,82,24
Rajaei Ayed,Al-Hussein,Meio-Campo,52,49,92,25
Noor Al-Rawabdeh,Selangor,Meio-Campo,44,54,89,20
Ibrahim Sa'deh,Al-Karma,Meio-Campo,42,64,84,32
Mohammad Abu Hashish,Al-Karma,Meio-Campo,59,48,92,38
Nizar Al-Rashdan,Qatar SC,Meio-Campo,59,63,92,17
Mohannad Abu Taha,Al-Quwa Al-Jawiya,Meio-Campo,49,61,91,14
Amer Jamous,Al-Zawraa,Meio-Campo,47,67,79,12
Mohammad Al-Dawoud,Al-Wehdat,Meio-Campo,59,49,89,14
Yousef Qashi,Al-Hussein,Meio-Campo,49,49,78,33
Mohammad Taha,Al-Hussein,Meio-Campo,60,63,78,20
Mahmoud Al-Mardi,Al-Hussein,Atacante,68,22,90,25
Musa Al-Taamari,Rennes,Atacante,62,19,87,41
Ali Olwan,Al-Sailiya,Atacante,65,8,79,28
