Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Yassine Bounou,Al-Hilal,Goleiro,21,84,89,25
Munir Mohamedi,RS Berkane,Goleiro,11,82,78,29
Ahmed Reda Tagnaouti,AS FAR,Goleiro,18,89,87,14
Achraf Hakimi,Paris Saint-Germain,Defensor,68,75,86,32
Nayef Aguerd,Marseille,Defensor,43,76,92,40
Noussair Mazraoui,Manchester United,Defensor,63,90,78,34
Youssef Belammari,Al Ahly,Defensor,45,75,85,42
Anass Salah-Eddine,PSV,Defensor,74,75,75,39
Chadi Riad,Crystal Palace,Defensor,42,82,75,20
Issa Diop,Fulham,Defensor,45,92,90,20
Zakaria El Ouahdi,Genk,Defensor,73,85,83,42
Redouane Halhal,Mechelen,Defensor,51,82,85,26
Sofyan Amrabat,Betis,Meio-Campo,73,74,92,23
Azzedine Ounahi,Girona,Meio-Campo,70,74,91,25
Bilal El Khannouss,VfB Stuttgart,Meio-Campo,74,66,84,40
Ismael Saibari,PSV,Meio-Campo,86,80,76,22
Neil El Aynaoui,Roma,Meio-Campo,73,84,79,26
Samir El Mourabet,Strasbourg,Meio-Campo,69,80,77,19
Ayyoub Bouaddi,Lille,Meio-Campo,72,74,83,39
Ayoub El Kaabi,Olympiacos,Atacante,81,38,91,18
Abde Ezzalzouli,Betis,Atacante,97,52,78,26
Soufiane Rahimi,Al Ain,Atacante,82,34,89,44
Brahim Díaz,Real Madrid,Atacante,91,51,91,20
Chemsdine Talbi,Sunderland,Atacante,77,21,90,44
Gessime Yassine,Strasbourg,Atacante,93,50,85,16
Ayoube Amaimouni,Eintracht Frankfurt,Atacante,77,35,86,13
