Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Max Crocombe,Millwall,Goleiro,16,68,81,27
Alex Paulsen,Lechia Gdańsk,Goleiro,15,70,78,29
Michael Woud,Auckland FC,Goleiro,16,64,76,24
Tim Payne,Wellington Phoenix,Defensor,28,68,83,38
Francis de Vries,Auckland FC,Defensor,23,64,75,31
Tyler Bindon,Sheffield United,Defensor,27,66,92,39
Michael Boxall,Minnesota United,Defensor,25,69,92,36
Liberato Cacace,Wrexham,Defensor,32,61,78,22
Nando Pijnaker,Auckland FC,Defensor,29,68,82,36
Finn Surman,Portland Timbers,Defensor,30,66,76,41
Callan Elliot,Auckland FC,Defensor,31,61,77,42
Tommy Smith,Braintree Town,Defensor,23,65,75,38
Joe Bell,Viking,Meio-Campo,60,54,87,39
Matthew Garbett,Peterborough United,Meio-Campo,45,63,75,40
Marko Stamenić,Swansea City,Meio-Campo,55,65,86,26
Sarpreet Singh,Wellington Phoenix,Meio-Campo,50,50,77,12
Elijah Just,Motherwell,Meio-Campo,54,54,76,32
Alex Rufer,Wellington Phoenix,Meio-Campo,60,66,87,13
Ryan Thomas,PEC Zwolle,Meio-Campo,57,55,78,21
Lachlan Bayliss,Newcastle Jets,Meio-Campo,42,50,76,26
Ben Old,Saint-Étienne,Meio-Campo,46,48,89,31
Callum McCowatt,Silkeborg,Meio-Campo,45,59,77,35
Kosta Barbarouses,Western Sydney Wanderers,Atacante,62,8,92,42
Ben Waine,Port Vale,Atacante,68,19,88,32
Chris Wood,Nottingham Forest,Atacante,53,15,82,39
Jesse Randall,Auckland FC,Atacante,54,22,76,39
