Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Luis Mejía,Nacional,Goleiro,20,90,82,10
Orlando Mosquera,Al-Fayha,Goleiro,18,83,77,21
César Samudio,Marathón,Goleiro,23,89,78,23
Eric Davis,Plaza Amador,Defensor,50,92,82,27
Fidel Escobar,Saprissa,Defensor,63,86,86,33
Amir Murillo,Beşiktaş,Defensor,71,91,92,27
Roderick Miller,Turan Tovuz,Defensor,66,76,77,26
Andrés Andrade,LASK,Defensor,74,76,79,41
César Blackman,Slovan Bratislava,Defensor,60,92,84,28
José Córdoba,Norwich City,Defensor,70,87,76,32
Jiovany Ramos,Puerto Cabello,Defensor,60,79,86,22
Jorge Gutiérrez,Deportivo La Guaira,Defensor,67,92,84,24
Edgardo Fariña,Pari Nizhny Novgorod,Defensor,74,84,90,18
Aníbal Godoy,San Diego,Meio-Campo,80,85,81,13
Alberto Quintero,Plaza Amador,Meio-Campo,76,87,92,22
Yoel Bárcenas,''Unattached'',Meio-Campo,77,62,80,16
Adalberto Carrasquilla,UNAM,Meio-Campo,68,68,91,30
José Luis Rodríguez,Juárez,Meio-Campo,77,63,85,30
Cristian Martínez,Ironi Kiryat Shmona,Meio-Campo,82,75,80,24
César Yanis,Cobresal,Meio-Campo,79,78,82,24
Carlos Harvey,Minnesota United,Meio-Campo,87,78,82,28
Azarias Londoño,Universidad Católica,Meio-Campo,71,72,85,22
José Fajardo,Universidad Católica,Atacante,81,29,90,43
Ismael Díaz,León,Atacante,88,40,81,41
Cecilio Waterman,Universidad de Concepción,Atacante,77,34,85,29
Tomás Rodríguez,Saprissa,Atacante,97,45,81,34
