Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Gatito Fernández,Cerro Porteño,Goleiro,29,70,89,15
Carlos Coronel,São Paulo,Goleiro,28,74,84,15
Orlando Gill,San Lorenzo,Goleiro,25,76,75,12
Antonio Sanabria,Torino,Atacante,73,20,82,27
Ramón Sosa,Estudiantes,Atacante,68,22,87,24
Adam Bareiro,Cerro Porteño,Atacante,65,18,80,22
Gustavo Gómez,Palmeiras,Defensor,44,79,91,31
Júnior Alonso,Atlético Mineiro,Defensor,45,73,88,41
Fabián Balbuena,Grêmio,Defensor,37,69,83,24
Omar Alderete,Sunderland,Defensor,42,75,81,39
Juan Cáceres,Dynamo Moscow,Defensor,40,72,80,26
Blas Riveros,Cerro Porteño,Defensor,38,70,90,30
Gustavo Velázquez,Cerro Porteño,Defensor,38,80,86,26
Julio Enciso,Brighton,Atacante,71,24,84,26
Agustín Sández,Rosario Central,Defensor,44,76,87,28
Derlis González,Cerro Porteño,Atacante,62,21,79,30
Enso González,Sport Recife,Atacante,63,19,83,20
Fernando Cardozo,Nacional,Atacante,60,23,78,25
Braian Samudio,Al-Wahda,Atacante,66,20,85,23
Ángel Cardozo Lucena,Sportivo Luqueño,Meio-Campo,61,68,81,24
Andrés Cubas,Vancouver Whitecaps,Meio-Campo,58,72,88,21
Damián Bobadilla,Cerro Porteño,Meio-Campo,59,66,80,29
Diego Gómez,Brighton,Meio-Campo,65,63,86,20
Miguel Almirón,Atlanta United,Meio-Campo,58,70,79,26
Mathías Villasanti,Grêmio,Meio-Campo,58,60,83,27
Kaku,Al Ain,Meio-Campo,80,67,82,32
