Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Lionel Mpasi,Le Havre,Goleiro,16,68,75,14
Timothy Fayulu,Noah,Goleiro,16,70,79,21
Matthieu Epolo,Standard Liège,Goleiro,15,64,77,13
Chancel Mbemba,Lille,Defensor,22,62,92,24
Arthur Masuaku,Lens,Defensor,28,66,92,24
Gédéon Kalulu,Aris Limassol,Defensor,24,62,89,36
Joris Kayembe,Genk,Defensor,22,59,91,29
Dylan Batubinsika,AEL,Defensor,32,65,77,37
Axel Tuanzebe,Burnley,Defensor,29,59,84,26
Aaron Wan-Bissaka,West Ham United,Defensor,29,62,78,30
Steve Kapuadi,Widzew Łódź,Defensor,29,66,77,25
Meschak Elia,Alanyaspor,Meio-Campo,57,56,91,33
Samuel Moutoussamy,Atromitos,Meio-Campo,43,62,78,31
Edo Kayembe,Watford,Meio-Campo,61,50,81,24
Théo Bongonda,Spartak Moscow,Meio-Campo,61,59,91,19
Charles Pickel,Espanyol,Meio-Campo,45,48,76,26
Gaël Kakuta,AEL,Meio-Campo,52,64,83,16
Noah Sadiki,Sunderland,Meio-Campo,58,48,82,28
Nathanaël Mbuku,Montpellier,Meio-Campo,57,53,76,37
Aaron Tshibola,Kilmarnock,Meio-Campo,54,52,84,37
Ngal'ayel Mukau,Lille,Meio-Campo,61,62,90,34
Brian Cipenga,Castellón,Meio-Campo,42,68,82,20
Cédric Bakambu,Betis,Atacante,58,8,86,37
Fiston Mayele,Pyramids,Atacante,68,22,88,38
Yoane Wissa,Newcastle United,Atacante,60,16,87,42
Simon Banza,Al Jazira,Atacante,60,10,83,21
