Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Matěj Kovář,PSV,Goleiro,25,79,78,13
Jindřich Staněk,Slavia Prague,Goleiro,25,75,84,24
Lukáš Horníček,Braga,Goleiro,28,80,87,14
Vladimír Coufal,TSG Hoffenheim,Defensor,41,71,76,27
Tomáš Holeš,Slavia Prague,Defensor,44,69,81,32
Ladislav Krejčí,Wolverhampton Wanderers,Defensor,39,71,78,18
David Zima,Slavia Prague,Defensor,36,76,85,23
Jaroslav Zelený,Sparta Prague,Defensor,39,73,91,22
David Jurásek,Slavia Prague,Defensor,45,72,75,39
David Douděra,Slavia Prague,Defensor,36,77,79,31
Robin Hranáč,TSG Hoffenheim,Defensor,34,71,90,20
Štěpán Chaloupek,Slavia Prague,Defensor,45,77,89,41
Tomáš Souček,West Ham United,Meio-Campo,64,67,82,17
Vladimír Darida,Hradec Králové,Meio-Campo,61,69,75,33
Lukáš Provod,Slavia Prague,Meio-Campo,74,64,85,13
Michal Sadílek,Slavia Prague,Meio-Campo,59,74,84,39
Pavel Šulc,Lyon,Meio-Campo,68,76,88,30
Lukáš Červ,Viktoria Plzeň,Meio-Campo,75,66,83,35
Tomáš Ladra,Viktoria Plzeň,Meio-Campo,73,60,86,14
Pavel Bucha,Cincinnati,Meio-Campo,69,71,82,40
Hugo Sochůrek,Sparta Prague,Meio-Campo,69,71,88,32
Alexandr Sojka,Viktoria Plzeň,Meio-Campo,58,65,88,37
Denis Višinský,Viktoria Plzeň,Meio-Campo,75,71,85,38
Patrik Schick,Bayer Leverkusen,Atacante,69,28,91,14
Adam Hložek,TSG Hoffenheim,Atacante,80,19,86,40
Jan Kuchta,Sparta Prague,Atacante,77,12,78,36
