Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Édouard Mendy,Al-Ahli,Goleiro,32,79,88,20
Mory Diaw,Le Havre,Goleiro,34,82,88,29
Yehvann Diouf,Nice,Goleiro,37,86,85,21
Kalidou Koulibaly,Al-Hilal,Defensor,48,78,81,28
Krépin Diatta,Monaco,Defensor,50,79,86,36
Moussa Niakhaté,Lyon,Defensor,55,83,87,35
Ismail Jakobs,Galatasaray,Defensor,43,77,89,39
Abdoulaye Seck,Maccabi Haifa,Defensor,55,85,79,19
El Hadji Malick Diouf,West Ham United,Defensor,53,81,91,29
Antoine Mendy,Nice,Defensor,44,78,80,30
Mamadou Sarr,Chelsea,Defensor,51,77,84,41
Ilay Camara,Anderlecht,Defensor,45,75,92,26
Moustapha Mbow,Paris,Defensor,44,79,92,30
Idrissa Gueye,Everton,Meio-Campo,76,83,91,23
Pape Gueye,Villarreal,Meio-Campo,74,75,77,26
Pape Matar Sarr,Tottenham Hotspur,Meio-Campo,75,83,89,29
Lamine Camara,Monaco,Meio-Campo,76,71,88,36
Pathé Ciss,Rayo Vallecano,Meio-Campo,71,68,75,26
Habib Diarra,Sunderland,Meio-Campo,79,69,83,29
Bara Sapoko Ndiaye,Bayern Munich,Meio-Campo,68,71,76,30
Sadio Mané,Al-Nassr,Atacante,83,22,80,35
Ismaïla Sarr,Crystal Palace,Atacante,81,15,92,17
Iliman Ndiaye,Everton,Atacante,86,32,86,21
Nicolas Jackson,Bayern Munich,Atacante,78,28,80,27
Bamba Dieng,Lorient,Atacante,82,26,83,37
Cherif Ndiaye,Samsunspor,Atacante,88,22,78,43
