Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Aymen Dahmen,CS Sfaxien,Goleiro,10,82,78,11
Sabri Ben Hessen,Étoile du Sahel,Goleiro,11,81,83,29
Mouhib Chamakh,Club Africain,Goleiro,20,84,79,26
Montassar Talbi,Lorient,Defensor,62,81,75,34
Dylan Bronn,Servette,Defensor,48,90,80,19
Ali Abdi,Nice,Defensor,74,85,76,36
Yan Valery,Young Boys,Defensor,51,83,85,42
Mohamed Amine Ben Hamida,Espérance de Tunis,Defensor,59,83,81,42
Moutaz Neffati,IFK Norrköping,Defensor,61,82,85,18
Omar Rekik,Maribor,Defensor,68,91,86,39
Adem Arous,Kasımpaşa,Defensor,61,81,86,18
Raed Chikhaoui,US Monastir,Defensor,49,92,81,42
Ellyes Skhiri,Eintracht Frankfurt,Meio-Campo,86,70,75,16
Hannibal Mejbri,Burnley,Meio-Campo,81,78,81,34
Anis Ben Slimane,Norwich City,Meio-Campo,67,69,89,39
Mortadha Ben Ouanes,Kasımpaşa,Meio-Campo,65,84,81,30
Ismaël Gharbi,FC Augsburg,Meio-Campo,87,82,84,37
Hadj Mahmoud,Lugano,Meio-Campo,62,83,81,28
Rani Khedira,Union Berlin,Meio-Campo,87,76,82,40
Elias Achouri,Copenhagen,Atacante,87,31,80,40
Firas Chaouat,Club Africain,Atacante,98,21,75,35
Hazem Mastouri,Dynamo Makhachkala,Atacante,92,54,85,20
Elias Saad,Hannover 96,Atacante,84,28,79,24
Sebastian Tounekti,Celtic,Atacante,88,33,84,22
Khalil Ayari,Paris Saint-Germain,Atacante,94,40,78,33
Rayan Elloumi,Vancouver Whitecaps,Atacante,90,42,85,13
