Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Uğurcan Çakır,Galatasaray,Goleiro,27,74,78,26
Mert Günok,Fenerbahçe,Goleiro,26,71,84,20
Altay Bayındır,Manchester United,Goleiro,25,80,77,29
Ersin Destanoğlu,Beşiktaş,Goleiro,26,79,85,19
Muhammed Şengezer,İstanbul Başakşehir,Goleiro,28,71,89,27
Merih Demiral,Al-Ahli,Defensor,35,77,87,38
Zeki Çelik,Roma,Defensor,36,73,75,35
Çağlar Söyüncü,Fenerbahçe,Defensor,35,67,76,18
Mert Müldür,Fenerbahçe,Defensor,45,69,83,24
Ferdi Kadıoğlu,Brighton & Hove Albion,Defensor,43,76,83,28
Ozan Kabak,TSG Hoffenheim,Defensor,35,69,85,22
Abdülkerim Bardakcı,Galatasaray,Defensor,40,71,91,38
Eren Elmalı,Galatasaray,Defensor,37,76,83,42
Samet Akaydin,Çaykur Rizespor,Defensor,41,69,77,24
Yusuf Akçiçek,Al-Hilal,Defensor,45,75,79,38
Mustafa Eskihellaç,Trabzonspor,Defensor,40,77,86,22
Ahmetcan Kaplan,NEC,Defensor,34,72,86,37
Hakan Çalhanoğlu,Inter Milan,Meio-Campo,63,65,82,20
Kaan Ayhan,Galatasaray,Meio-Campo,72,63,90,17
Orkun Kökçü,Beşiktaş,Meio-Campo,73,60,89,31
İsmail Yüksek,Fenerbahçe,Meio-Campo,58,66,80,28
Salih Özcan,Borussia Dortmund,Meio-Campo,72,70,80,28
Atakan Karazor,VfB Stuttgart,Meio-Campo,69,72,80,26
Demir Ege Tıknaz,Beşiktaş,Meio-Campo,58,63,86,30
Kerem Aktürkoğlu,Fenerbahçe,Atacante,72,28,91,38
İrfan Can Kahveci,Kasımpaşa,Atacante,80,12,77,17
