Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Sergio Rochet,Internacional,Goleiro,10,89,78,15
Santiago Mele,Monterrey,Goleiro,14,89,76,11
Fernando Muslera,Estudiantes,Goleiro,10,92,79,15
José María Giménez,Atlético Madrid,Defensor,70,79,90,23
Sebastián Cáceres,América,Defensor,69,83,82,26
Ronald Araújo,Barcelona,Defensor,59,76,91,30
Guillermo Varela,Flamengo,Defensor,46,78,84,18
Mathías Olivera,Napoli,Defensor,67,80,78,26
Matías Viña,River Plate,Defensor,72,82,90,33
Santiago Bueno,Wolverhampton Wanderers,Defensor,62,86,78,33
José Luis Rodríguez,Vasco da Gama,Defensor,46,75,85,19
Joaquín Piquerez,Palmeiras,Defensor,62,78,86,18
Manuel Ugarte,Manchester United,Meio-Campo,67,63,92,32
Juan Manuel Sanabria,Real Salt Lake,Meio-Campo,66,78,87,22
Nicolás de la Cruz,Flamengo,Meio-Campo,66,71,83,31
Emiliano Martínez,Palmeiras,Meio-Campo,62,68,90,35
Giorgian de Arrascaeta,Flamengo,Meio-Campo,61,67,79,35
Federico Valverde,Real Madrid,Meio-Campo,69,77,83,34
Maximiliano Araújo,Sporting CP,Meio-Campo,76,81,87,31
Nicolás Fonseca,Oviedo,Meio-Campo,63,61,80,16
Darwin Núñez,Al-Hilal,Atacante,93,42,88,16
Facundo Pellistri,Panathinaikos,Atacante,85,34,76,31
Agustín Canobbio,Fluminense,Atacante,94,47,90,31
Brian Rodríguez,América,Atacante,82,39,85,19
Federico Viñas,Oviedo,Atacante,78,24,92,42
Facundo Torres,Austin FC,Atacante,90,23,79,16
