Nome,Clube,Posicao,Ataque,Defesa,Fisico,Estresse
Eldor Suyunov,Pakhtakor,Goleiro,17,67,82,18
Utkir Yusupov,Bunyodkor,Goleiro,16,65,80,22
Sanjar Kuvvatov,Nasaf,Goleiro,15,64,78,25
Abdukodir Khusanov,Lens,Defensor,32,70,86,20
Husniddin Aliqulov,Pakhtakor,Defensor,29,66,84,28
Islom Tukhtakhodjaev,AGMK,Defensor,28,65,82,30
Akmal Mozgovoy,Al-Sadd,Defensor,30,66,80,26
Odiljon Hamrobekov,CSKA Moscow,Defensor,31,64,85,24
Khojimat Erkinov,Pakhtakor,Defensor,28,63,83,32
Davron Khashimov,Bunyodkor,Defensor,29,64,81,28
Farrukh Sayfiev,Nasaf,Defensor,27,63,80,30
Jaloliddin Masharipov,Al-Ahli,Meio-Campo,65,51,80,22
Oston Urunov,Lens,Meio-Campo,57,55,84,20
Abbos Fayzullaev,CSKA Moscow,Meio-Campo,62,50,86,16
Jamshid Iskanderov,Pakhtakor,Meio-Campo,49,54,82,26
Dostonbek Khamdamov,AGMK,Meio-Campo,45,52,80,28
Otabek Shukurov,Al-Fayha,Meio-Campo,51,55,78,24
Bobur Abdikholikov,Bunyodkor,Meio-Campo,42,51,82,30
Asilbek Fayzullaev,Pakhtakor,Meio-Campo,53,48,84,18
Eldor Shomurodov,Roma,Atacante,68,22,82,22
Igor Sergeev,Zenit,Atacante,60,15,80,28
Khusain Norchaev,Pakhtakor,Atacante,53,19,78,26
Ulugbek Khoshimov,AGMK,Atacante,49,11,76,32
Azizbek Turgunboev,Bunyodkor,Atacante,45,8,80,30
Ibrokhimkhalil Yuldoshev,Pakhtakor,Atacante,51,14,82,24
Abbosbek Murodov,Nasaf,Atacante,42,16,78,34
