Grupo,Time1,Time2,Time3,Time4
A,Alemanha,Argentina,Brasil,França
B,África do Sul,Argélia,Arábia Saudita,Austrália
C,Áustria,Bélgica,Bósnia e Herzegovina,Cabo Verde
D,Camarões,Canadá,Catar,Colômbia
E,Coreia do Sul,Costa do Marfim,Croácia,Curaçau
F,Dinamarca,Egito,Equador,Escócia
G,Espanha,Estados Unidos,Gana,Haiti
H,Holanda,Inglaterra,Irã,Iraque
I,Japão,Jordânia,Marrocos,México
J,Nova Zelândia,Panamá,Paraguai,Portugal
K,República Democrática do Congo,República Tcheca,Senegal,Suécia
L,Suíça,Tunísia,Turquia,Uruguai
